Country,Index Score
Vietnam,1
India,0.37
Pakistan,0.36
Kenya,0.28
Nigeria,0.26
United States,0.22
Argentina,0.19
Colombia,0.19
Thailand,0.17
China,0.16
Brazil,0.16
Philippines,0.16
South Africa,0.14
Russian Federation,0.14
United Kingdom,0.13
Peru,0.11
Malaysia,0.1
Morocco,0.1
Indonesia,0.1
Turkey,0.1
Canada,0.09
France,0.08
Australia,0.07
Hong Kong,0.07
Poland,0.07
Mexico,0.06
Netherlands,0.06
Chile,0.06
Spain,0.06
Germany,0.06
Dominican Republic,0.05
Portugal,0.05
Egypt,0.05
Czechia,0.05
Serbia,0.04
Romania,0.04
Belgium,0.04
Switzerland,0.04
Sweden,0.04
Italy,0.03
Singapore,0.03
Japan,0.03
Finland,0.03
Norway,0.03
Greece,0.03
Lithuania,0.03
Austria,0.02
Israel,0.02
United Arab Emirates,0.02
Hungary,0.02
Denmark,0.02
Saudi Arabia,0.02
Ireland,0.01
