Country,Overall Index Ranking
India,1
Nigeria,2
Vietnam,3
United States,4
Philippines,6
Indonesia,7
Pakistan,8
Brazil,9
Thailand,10
China,11
Turkey,12
Russia,13
United Kingdom,14
Argentina,15
Mexico,16
Japan,18
Canada,19
Morocco,20
Kenya,21
Spain,22
France,23
Germany,26
South Korea,27
Ghana,29
South Africa,31
Colombia,32
Poland,34
Egypt,35
Italy,37
Malaysia,38
Netherlands,39
Australia,41
Hong Kong,48
Peru,49
Saudi Arabia,57
Portugal,59
Romania,61
Czechia,62
Switzerland,63
Serbia,67
Chile,68
Sweden,70
Dominican Republic,71
Hungary,73
Israel,75
Greece,76
Singapore,77
United Arab Emirates,78
Belgium,81
Senegal,83
Austria,84
Lithuania,88
Finland,99
Ireland,115
Denmark,112
Norway,111
Bosnia and Herzegovina,126
